word,count,genre
im,7016,pop
dont,4766,pop
love,4693,pop
yeah,4178,pop
babi,3043,pop
your,2495,pop
feel,2117,pop
wanna,1970,pop
ill,1585,pop
pa,1481,pop
aint,1319,pop
night,1297,pop
girl,1113,pop
ooh,1045,pop
day,1030,pop
im,110,country
dont,62,country
yeah,54,country
love,54,country
your,52,country
aint,47,country
babi,45,country
gonna,39,country
girl,37,country
wrong,33,country
night,32,country
life,32,country
ill,32,country
ive,30,country
day,29,country
im,832,rock
dont,511,rock
love,464,rock
ill,316,rock
feel,292,rock
your,273,rock
wanna,248,rock
run,219,rock
christma,217,rock
yeah,200,rock
ive,153,rock
babi,151,rock
gonna,132,rock
wont,123,rock
night,122,rock
im,9112,rap
yeah,6052,rap
dont,4545,rap
nigga,4336,rap
bitch,3831,rap
aint,2872,rap
fuck,2699,rap
shit,2358,rap
babi,1942,rap
ich,1938,rap
wanna,1840,rap
love,1821,rap
feel,1423,rap
gon,1372,rap
em,1326,rap
im,2541,r-b
dont,1932,r-b
yeah,1915,r-b
love,1532,r-b
babi,1044,r-b
your,760,r-b
feel,703,r-b
wanna,698,r-b
aint,681,r-b
girl,664,r-b
ill,478,r-b
night,474,r-b
fuck,438,r-b
life,395,r-b
gotta,364,r-b
